iter	Passed	Remaining
471	746	835
472	748	833
473	749	831
474	751	830
475	752	828
476	754	827
477	756	826
478	758	824
479	760	823
480	761	821
481	762	819
482	764	818
483	765	816
484	767	814
485	769	813
486	771	812
487	773	811
488	774	809
489	776	808
490	777	806
491	779	804
492	780	802
493	782	801
494	784	800
495	786	799
496	788	798
497	790	796
498	791	795
499	793	793
500	794	791
501	796	790
502	798	788
503	800	787
504	802	786
505	804	785
506	806	784
507	807	782
508	809	780
509	810	779
510	812	777
511	815	777
512	817	776
513	819	774
514	820	773
515	822	771
516	823	769
517	825	768
518	826	766
519	828	764
520	829	762
521	831	761
522	833	759
523	834	758
524	836	756
525	837	754
526	839	753
527	840	751
528	842	749
529	843	748
530	845	746
531	847	745
532	849	743
533	850	742
534	852	740
535	853	738
536	855	737
537	856	735
538	858	733
539	859	732
540	861	730
541	863	729
542	864	727
543	866	726
544	867	724
545	869	722
546	870	721
547	872	719
548	873	717
549	875	716
550	876	714
551	878	713
552	880	711
553	882	710
554	883	708
555	885	706
556	886	705
557	888	703
558	889	701
559	891	700
560	892	698
561	894	697
562	896	695
563	898	694
564	899	692
565	901	690
566	902	689
567	903	687
568	905	685
569	907	684
570	908	682
571	910	681
572	912	680
573	913	678
574	915	676
575	917	675
576	918	673
577	920	671
578	921	670
579	923	668
580	925	667
581	926	665
582	928	664
583	929	662
584	931	660
585	932	658
586	934	657
587	935	655
588	937	653
589	938	652
590	940	650
591	942	649
592	944	647
593	945	646
594	947	644
595	948	643
596	950	641
597	951	639
598	953	638
599	954	636
600	956	635
601	958	633
602	960	632
603	962	630
604	963	629
605	964	627
606	966	625
607	967	624
608	969	622
609	971	620
610	972	619
611	974	617
612	976	616
613	978	615
614	979	613
615	981	611
616	983	610
617	984	608
618	986	607
619	988	605
620	990	604
621	992	602
622	993	601
623	995	599
624	996	598
625	998	596
626	1000	594
627	1001	593
628	1003	591
629	1005	590
630	1006	588
631	1008	587
632	1009	585
633	1011	583
634	1012	582
635	1014	580
636	1016	579
637	1018	577
638	1020	576
639	1022	574
640	1023	573
641	1025	571
642	1026	569
643	1027	568
644	1029	566
645	1031	565
646	1032	563
647	1034	562
648	1036	560
649	1038	558
650	1039	557
651	1040	555
652	1042	554
653	1044	552
654	1045	550
655	1047	549
656	1049	548
657	1051	546
658	1053	544
659	1054	543
660	1056	541
661	1057	540
662	1059	538
663	1060	536
664	1062	535
665	1064	533
666	1066	532
667	1067	530
668	1069	529
669	1070	527
670	1072	525
671	1073	523
672	1074	522
673	1076	520
674	1078	519
675	1080	517
676	1081	516
677	1083	514
678	1084	512
679	1086	511
680	1087	509
681	1089	508
682	1091	506
683	1093	504
684	1094	503
685	1096	502
686	1098	500
687	1100	498
688	1101	497
689	1103	495
690	1104	493
691	1106	492
692	1108	491
693	1110	489
694	1112	488
695	1114	486
696	1115	484
697	1117	483
698	1118	481
699	1120	480
700	1121	478
701	1123	476
702	1125	475
703	1126	473
704	1128	472
705	1130	470
706	1131	468
707	1132	467
708	1135	465
709	1136	464
710	1137	462
711	1139	460
712	1141	459
713	1142	457
714	1144	456
715	1145	454
716	1147	452
717	1148	451
718	1150	449
719	1152	448
720	1153	446
721	1155	444
722	1156	443
723	1158	441
724	1160	440
725	1161	438
726	1162	436
727	1164	435
728	1166	433
729	1167	431
730	1169	430
731	1171	428
732	1173	427
733	1175	425
734	1176	424
735	1178	422
736	1179	421
737	1181	419
738	1182	417
739	1184	416
740	1185	414
741	1187	412
742	1189	411
743	1190	409
744	1192	408
745	1193	406
746	1195	404
747	1196	403
748	1198	401
749	1199	399
750	1201	398
751	1202	396
752	1204	395
753	1206	393
754	1207	391
755	1209	390
756	1210	388
757	1212	387
758	1214	385
759	1215	383
760	1217	382
761	1218	380
762	1221	379
763	1222	377
764	1224	376
765	1225	374
766	1227	372
767	1228	371
768	1230	369
769	1231	367
770	1233	366
771	1234	364
772	1236	363
773	1237	361
774	1239	359
775	1240	358
776	1242	356
777	1243	354
778	1245	353
779	1246	351
780	1248	350
781	1249	348
782	1251	346
783	1252	345
784	1254	343
785	1255	341
786	1257	340
787	1258	338
788	1259	336
789	1261	335
790	1263	333
791	1264	332
792	1266	330
793	1268	328
794	1269	327
795	1270	325
796	1272	324
797	1273	322
798	1275	320
799	1276	319
800	1278	317
801	1279	315
802	1281	314
803	1282	312
804	1284	311
805	1285	309
806	1287	307
807	1288	306
808	1290	304
809	1291	302
810	1292	301
811	1294	299
812	1296	298
813	1297	296
814	1299	294
815	1300	293
816	1301	291
817	1303	289
818	1304	288
819	1306	286
820	1307	285
821	1308	283
822	1310	281
823	1312	280
824	1313	278
825	1314	277
826	1316	275
827	1317	273
828	1319	272
829	1320	270
830	1322	268
831	1323	267
832	1325	265
833	1326	264
834	1328	262
835	1329	260
836	1330	259
837	1332	257
838	1333	255
839	1335	254
840	1336	252
841	1338	251
842	1339	249
843	1341	247
844	1343	246
845	1345	244
846	1346	243
847	1348	241
848	1349	240
849	1350	238
850	1352	236
851	1353	235
852	1355	233
853	1357	232
854	1359	230
855	1360	228
856	1362	227
857	1364	225
858	1365	224
859	1366	222
860	1368	220
861	1369	219
862	1371	217
863	1373	216
864	1374	214
865	1376	212
866	1378	211
867	1379	209
868	1380	208
869	1382	206
870	1384	205
871	1386	203
872	1387	201
873	1389	200
874	1391	198
875	1392	197
876	1394	195
877	1395	193
878	1397	192
879	1398	190
880	1400	189
881	1401	187
882	1403	185
883	1404	184
884	1406	182
885	1408	181
886	1409	179
887	1411	177
888	1412	176
889	1414	174
890	1415	173
891	1417	171
892	1418	169
893	1420	168
894	1421	166
895	1423	165
896	1424	163
897	1426	162
898	1427	160
899	1429	158
900	1430	157
901	1432	155
902	1433	154
903	1435	152
904	1437	150
905	1438	149
906	1440	147
907	1441	146
908	1443	144
909	1444	142
910	1446	141
911	1447	139
912	1449	138
913	1450	136
914	1452	134
915	1453	133
916	1455	131
917	1456	130
918	1458	128
919	1459	126
920	1461	125
921	1462	123
922	1464	122
923	1465	120
924	1467	118
925	1469	117
926	1471	115
927	1472	114
928	1474	112
929	1475	111
930	1476	109
931	1478	107
932	1479	106
933	1481	104
934	1483	103
935	1485	101
936	1487	99
937	1489	98
938	1490	96
939	1492	95
940	1493	93
941	1495	92
942	1496	90
943	1498	88
944	1500	87
945	1501	85
946	1502	84
947	1504	82
948	1505	80
949	1507	79
950	1508	77
951	1510	76
952	1511	74
953	1513	72
954	1514	71
955	1516	69
956	1517	68
957	1519	66
958	1520	65
959	1522	63
960	1523	61
961	1524	60
962	1526	58
963	1528	57
964	1530	55
965	1531	53
966	1533	52
967	1534	50
968	1536	49
969	1537	47
970	1539	45
971	1540	44
972	1541	42
973	1544	41
974	1545	39
975	1547	38
976	1549	36
977	1550	34
978	1552	33
979	1553	31
980	1554	30
981	1556	28
982	1558	26
983	1559	25
984	1561	23
985	1562	22
986	1564	20
987	1565	19
988	1567	17
989	1568	15
990	1569	14
991	1572	12
992	1573	11
993	1575	9
994	1576	7
995	1578	6
996	1579	4
997	1581	3
998	1582	1
999	1584	0
