iter	MultiClass
0	0.9999700542
1	0.9202591509
2	0.8503766199
3	0.7931938001
4	0.7369079312
5	0.6947235238
6	0.6471007008
7	0.6123151052
8	0.580827515
9	0.549565022
10	0.5225662326
11	0.4935349849
12	0.4662390843
13	0.4417688629
14	0.420415474
15	0.3985723275
16	0.3811204766
17	0.36880206
18	0.3551037188
19	0.3414788388
20	0.330748263
21	0.3171758376
22	0.3062204196
23	0.2957031603
24	0.2852420512
25	0.276574984
26	0.2683053358
27	0.259390121
28	0.2532025729
29	0.2473680319
30	0.2410067582
31	0.2340053637
32	0.2274834916
33	0.2218059275
34	0.2154196434
35	0.2094788086
36	0.2037152108
37	0.1989067837
38	0.1941423709
39	0.1903627797
40	0.186940043
41	0.1836749911
42	0.1802545384
43	0.1762231267
44	0.1724519532
45	0.1690308708
46	0.1661604054
47	0.1639411406
48	0.160898541
49	0.1585453951
50	0.1559424636
51	0.1538057461
52	0.1512219929
53	0.1492524825
54	0.1465789964
55	0.1447121222
56	0.1428657675
57	0.141403407
58	0.1395733457
59	0.1371755669
60	0.13545633
61	0.1339596138
62	0.1323560561
63	0.1309077618
64	0.1291766688
65	0.1280190462
66	0.1268533913
67	0.1252844022
68	0.1237150958
69	0.1222809708
70	0.1210082444
71	0.1197846523
72	0.1191006223
73	0.1183498469
74	0.1170032211
75	0.1159492812
76	0.1153432753
77	0.1140031224
78	0.1131028507
79	0.1115868415
80	0.1106345822
81	0.1094205838
82	0.1086516282
83	0.1074802183
84	0.1071003942
85	0.1059741808
86	0.105081901
87	0.1039371433
88	0.1028714297
89	0.1020005644
90	0.1010576703
91	0.1000663467
92	0.09924683499
93	0.09871055104
94	0.09785679349
95	0.09708627651
96	0.09617281169
97	0.09495562357
98	0.09430554403
99	0.09326570017
100	0.0924912455
101	0.09191969868
102	0.09100003712
103	0.09010480883
104	0.08918223823
105	0.0885805776
106	0.08811031186
107	0.08755972061
108	0.08683521762
109	0.08605942975
110	0.08518867203
111	0.08466191075
112	0.08395941936
113	0.08340265487
114	0.08289595323
